date_level,population,stock number,total portion
"20161209_5,001-10,000",440,"3,797,608",2.00
"20161209_10,001-15,000",138,"1,879,000",0.99
"20161209_15,001-20,000",172,"3,294,000",1.74
"20161209_20,001-30,000",123,"3,248,000",1.71
"20161209_30,001-40,000",67,"2,487,000",1.31
"20161209_40,001-50,000",82,"3,962,000",2.09
"20161209_50,001-100,000",100,"7,641,000",4.03
"20161209_100,001-200,000",47,"7,009,000",3.70
"20161209_200,001-400,000",38,"11,099,000",5.86
"20161209_400,001-600,000",9,"4,723,000",2.49
"20161209_600,001-800,000",4,"2,674,000",1.41
"20161209_800,001-1,000,000",4,"3,850,000",2.03
"20161209_1,000,001以上",15,"130,238,000",68.84
20161202_1-999,4,585,0.00
"20161202_1,000-5,000","1,369","3,595,419",1.76
"20161202_5,001-10,000",514,"4,438,001",2.18
"20161202_10,001-15,000",180,"2,433,995",1.19
"20161202_15,001-20,000",174,"3,334,000",1.64
"20161202_20,001-30,000",171,"4,523,000",2.22
"20161202_30,001-40,000",98,"3,610,000",1.77
"20161202_40,001-50,000",81,"3,904,000",1.92
"20161202_50,001-100,000",144,"10,925,000",5.37
"20161202_100,001-200,000",71,"10,976,000",5.40
"20161202_200,001-400,000",40,"11,839,000",5.82
"20161202_400,001-600,000",14,"7,084,000",3.48
"20161202_600,001-800,000",6,"4,164,000",2.04
"20161202_800,001-1,000,000",6,"5,796,000",2.85
"20161202_1,000,001以上",21,"126,565,000",62.28
20161202_差異數調整（說明4）, ,"-1,000",-0.00
20161125_1-999,4,"1,000",0.00
"20161125_1,000-5,000","1,424","3,850,000",2.27
"20161125_5,001-10,000",587,"4,992,000",2.95
"20161125_10,001-15,000",241,"3,237,000",1.91
"20161125_15,001-20,000",215,"4,088,000",2.41
"20161125_20,001-30,000",202,"5,388,000",3.18
"20161125_30,001-40,000",114,"4,196,000",2.48
"20161125_40,001-50,000",93,"4,439,000",2.62
"20161125_50,001-100,000",174,"13,149,000",7.77
"20161125_100,001-200,000",77,"11,333,000",6.69
"20161125_200,001-400,000",52,"15,239,000",9.00
"20161125_400,001-600,000",11,"5,489,000",3.24
"20161125_600,001-800,000",11,"7,648,000",4.52
"20161125_800,001-1,000,000",8,"7,679,000",4.53
"20161125_1,000,001以上",19,"78,459,000",46.37
20161118_1-999,5,"1,000",0.00
"20161118_1,000-5,000","1,411","3,887,000",2.34
"20161118_5,001-10,000",662,"5,598,000",3.37
"20161118_10,001-15,000",237,"3,199,000",1.93
"20161118_15,001-20,000",238,"4,549,000",2.74
"20161118_20,001-30,000",212,"5,568,000",3.36
"20161118_30,001-40,000",121,"4,378,000",2.64
"20161118_40,001-50,000",108,"5,142,000",3.10
"20161118_50,001-100,000",196,"14,590,000",8.80
"20161118_100,001-200,000",84,"12,206,000",7.36
"20161118_200,001-400,000",55,"15,799,000",9.53
"20161118_400,001-600,000",12,"6,311,000",3.80
"20161118_600,001-800,000",6,"4,035,000",2.43
"20161118_800,001-1,000,000",4,"3,945,000",2.38
"20161118_1,000,001以上",29,"76,479,000",46.15
20161111_1-999,3,880,0.00
"20161111_1,000-5,000","1,232","3,513,119",2.45
"20161111_5,001-10,000",557,"4,665,001",3.25
"20161111_10,001-15,000",200,"2,676,000",1.86
"20161111_15,001-20,000",210,"3,986,000",2.78
"20161111_20,001-30,000",201,"5,253,000",3.66
"20161111_30,001-40,000",95,"3,481,000",2.43
"20161111_40,001-50,000",96,"4,568,000",3.19
"20161111_50,001-100,000",172,"12,992,000",9.07
"20161111_100,001-200,000",84,"12,104,000",8.45
"20161111_200,001-400,000",47,"13,294,000",9.28
"20161111_400,001-600,000",11,"5,479,000",3.82
"20161111_600,001-800,000",5,"3,230,000",2.25
"20161111_800,001-1,000,000",5,"4,848,000",3.38
"20161111_1,000,001以上",23,"63,097,000",44.06
20161104_1-999,0,0,0.00
"20161104_1,000-5,000","1,041","2,866,000",3.66
