date_level,population,stock number,total portion
"20161223_10,001-15,000","1,092","12,111,643",5.81
"20161223_15,001-20,000",333,"5,612,044",2.69
"20161223_20,001-30,000",451,"10,384,916",4.98
"20161223_30,001-40,000",148,"4,921,962",2.36
"20161223_40,001-50,000",90,"3,904,418",1.87
"20161223_50,001-100,000",221,"14,905,057",7.15
"20161223_100,001-200,000",96,"13,266,799",6.36
"20161223_200,001-400,000",39,"10,750,703",5.16
"20161223_400,001-600,000",23,"10,958,464",5.26
"20161223_600,001-800,000",12,"7,953,215",3.81
"20161223_800,001-1,000,000",4,"3,602,267",1.72
"20161223_1,000,001以上",23,"74,211,622",35.62
20161216_1-999,"9,650","709,503",0.34
"20161216_1,000-5,000","10,287","20,155,734",9.67
"20161216_5,001-10,000","2,338","15,056,859",7.22
"20161216_10,001-15,000","1,097","12,169,092",5.84
"20161216_15,001-20,000",334,"5,644,425",2.70
"20161216_20,001-30,000",462,"10,624,660",5.10
"20161216_30,001-40,000",146,"4,856,412",2.33
"20161216_40,001-50,000",91,"3,953,974",1.89
"20161216_50,001-100,000",217,"14,621,443",7.01
"20161216_100,001-200,000",98,"13,635,819",6.54
"20161216_200,001-400,000",38,"10,218,454",4.90
"20161216_400,001-600,000",26,"12,607,690",6.05
"20161216_600,001-800,000",11,"7,330,345",3.51
"20161216_800,001-1,000,000",3,"2,709,160",1.30
"20161216_1,000,001以上",23,"74,031,622",35.53
20161209_1-999,"9,572","709,328",0.34
"20161209_1,000-5,000","10,363","20,297,950",9.74
"20161209_5,001-10,000","2,348","15,064,864",7.23
"20161209_10,001-15,000","1,111","12,315,500",5.91
"20161209_15,001-20,000",350,"5,924,812",2.84
"20161209_20,001-30,000",463,"10,618,339",5.09
"20161209_30,001-40,000",152,"5,048,172",2.42
"20161209_40,001-50,000",95,"4,135,954",1.98
"20161209_50,001-100,000",217,"14,608,763",7.01
"20161209_100,001-200,000",98,"13,606,239",6.53
"20161209_200,001-400,000",38,"9,988,561",4.79
"20161209_400,001-600,000",27,"12,860,643",6.17
"20161209_600,001-800,000",10,"6,598,285",3.16
"20161209_800,001-1,000,000",2,"1,777,160",0.85
"20161209_1,000,001以上",24,"74,770,622",35.89
20161202_1-999,"9,510","714,315",0.34
"20161202_1,000-5,000","10,299","20,210,131",9.70
"20161202_5,001-10,000","2,363","15,171,279",7.28
"20161202_10,001-15,000","1,127","12,486,838",5.99
"20161202_15,001-20,000",344,"5,804,159",2.78
"20161202_20,001-30,000",466,"10,643,668",5.10
"20161202_30,001-40,000",157,"5,206,952",2.49
"20161202_40,001-50,000",99,"4,298,534",2.06
"20161202_50,001-100,000",209,"13,903,106",6.67
"20161202_100,001-200,000",104,"14,343,719",6.88
"20161202_200,001-400,000",39,"10,626,380",5.10
"20161202_400,001-600,000",25,"12,043,429",5.78
"20161202_600,001-800,000",9,"5,939,285",2.85
"20161202_800,001-1,000,000",3,"2,688,355",1.29
"20161202_1,000,001以上",24,"74,245,042",35.63
20161125_1-999,"9,440","708,539",0.34
"20161125_1,000-5,000","10,451","20,517,849",9.84
"20161125_5,001-10,000","2,396","15,384,017",7.38
"20161125_10,001-15,000","1,147","12,711,547",6.10
"20161125_15,001-20,000",352,"5,933,735",2.84
"20161125_20,001-30,000",468,"10,708,606",5.14
"20161125_30,001-40,000",161,"5,336,609",2.56
"20161125_40,001-50,000",103,"4,464,050",2.14
"20161125_50,001-100,000",213,"14,179,109",6.80
"20161125_100,001-200,000",108,"14,954,897",7.17
"20161125_200,001-400,000",40,"10,599,921",5.08
"20161125_400,001-600,000",24,"11,404,866",5.47
"20161125_600,001-800,000",9,"5,996,685",2.87
"20161125_800,001-1,000,000",4,"3,667,965",1.76
"20161125_1,000,001以上",22,"71,756,797",34.44
20161118_1-999,"9,414","708,311",0.34
"20161118_1,000-5,000","10,436","20,423,738",9.80
"20161118_5,001-10,000","2,405","15,387,075",7.38
"20161118_10,001-15,000","1,157","12,809,598",6.14
"20161118_15,001-20,000",344,"5,797,616",2.78
"20161118_20,001-30,000",463,"10,566,460",5.07
"20161118_30,001-40,000",162,"5,353,405",2.56
"20161118_40,001-50,000",102,"4,392,751",2.10
"20161118_50,001-100,000",213,"14,283,824",6.85
"20161118_100,001-200,000",111,"15,370,795",7.37
"20161118_200,001-400,000",42,"11,539,617",5.53
"20161118_400,001-600,000",23,"10,772,955",5.17
"20161118_600,001-800,000",8,"5,286,285",2.53
"20161118_800,001-1,000,000",4,"3,610,965",1.73
"20161118_1,000,001以上",22,"72,021,797",34.57
20161111_1-999,"9,353","704,414",0.33
"20161111_1,000-5,000","10,474","20,460,162",9.82
"20161111_5,001-10,000","2,400","15,323,510",7.35
"20161111_10,001-15,000","1,168","12,910,072",6.19
"20161111_15,001-20,000",346,"5,826,543",2.79
"20161111_20,001-30,000",464,"10,576,865",5.07
"20161111_30,001-40,000",165,"5,462,305",2.62
"20161111_40,001-50,000",106,"4,581,457",2.19
"20161111_50,001-100,000",206,"13,742,468",6.59
"20161111_100,001-200,000",113,"15,628,200",7.50
